Commodity,Market,State,Date,Modal_Price,Min_Price,Max_Price,Arrival_Tons,Unit
Rice,Azadpur Mandi,Delhi,2026-06-16,3942,3666,4257,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-17,3913,3639,4226,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-18,3925,3650,4239,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-19,3916,3642,4229,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-20,3908,3634,4221,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-21,3919,3645,4233,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-22,3872,3601,4182,309,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-23,4001,3721,4321,234,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-24,3973,3695,4291,294,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-25,3984,3705,4303,236,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-26,3976,3698,4294,237,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-27,3967,3689,4284,238,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-28,3979,3700,4297,84,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-29,3931,3656,4245,300,Quintal
Rice,Azadpur Mandi,Delhi,2026-06-30,3942,3666,4257,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-01,3914,3640,4227,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-02,3925,3650,4239,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-03,3917,3643,4230,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-04,3908,3634,4221,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-05,3919,3645,4233,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-06,3872,3601,4182,309,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-07,4002,3722,4322,234,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-08,3973,3695,4291,294,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-09,3985,3706,4304,236,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-10,3976,3698,4294,237,Quintal
