state,district,total_cultivated_area_ha,dominant_crop,dominant_crop_area_ha,top_crops_summary
Andaman and Nicobar Islands,Nicobars,16155.1,Coconut,14497.8,Coconut: 14497.8ha; Banana: 801.4ha; Arecanut: 648.3ha; Cashewnut: 103.4ha; Tapioca: 56.6ha
Andaman and Nicobar Islands,North And Middle Andaman,11061.5,Rice,5159.5,Rice: 5159.5ha; Coconut: 2020.1ha; Arecanut: 1983.2ha; Banana: 728.1ha; Urad: 357.5ha
Andaman and Nicobar Islands,South Andamans,5051.5,Coconut,2625.4,Coconut: 2625.4ha; Arecanut: 1500.9ha; Banana: 442.8ha; Rice: 164.1ha; Black pepper: 107.8ha
Andhra Pradesh,Anantapur,700434.2,Oilseeds total,251750.2,Oilseeds total: 251750.2ha; Groundnut: 243257.8ha; Gram: 67005.0ha; Arhar/Tur: 33072.3ha; Cotton(lint): 22178.6ha
Andhra Pradesh,Chittoor,207504.4,Oilseeds total,63431.2,Oilseeds total: 63431.2ha; Groundnut: 61881.5ha; Rice: 26246.5ha; Sugarcane: 17043.8ha; Horse-gram: 14568.6ha
Andhra Pradesh,East Godavari,387241.3,Rice,192960.2,Rice: 192960.2ha; Coconut: 50511.8ha; Cashewnut: 30283.0ha; Oilseeds total: 22469.0ha; other oilseeds: 17510.3ha
Andhra Pradesh,Guntur,382792.9,Rice,108996.4,Rice: 108996.4ha; Cotton(lint): 97816.1ha; Dry chillies: 38314.2ha; Urad: 27645.2ha; Gram: 23888.5ha
Andhra Pradesh,Kadapa,201905.4,Gram,74274.4,Gram: 74274.4ha; Oilseeds total: 24703.1ha; Rice: 24119.6ha; Groundnut: 18918.9ha; Banana: 13630.8ha
Andhra Pradesh,Krishna,316383.0,Rice,134898.4,Rice: 134898.4ha; Urad: 72530.8ha; Cotton(lint): 45300.2ha; Maize: 12001.8ha; Sugarcane: 10842.5ha
Andhra Pradesh,Kurnool,737558.1,Cotton(lint),242384.5,Cotton(lint): 242384.5ha; Gram: 167229.8ha; Oilseeds total: 65233.9ha; Rice: 55271.9ha; Groundnut: 53068.8ha
Andhra Pradesh,Prakasam,284419.3,Gram,96449.5,Gram: 96449.5ha; Arhar/Tur: 46582.8ha; Rice: 29133.5ha; Tobacco: 22204.9ha; Dry chillies: 18170.4ha
Andhra Pradesh,Spsr Nellore,153217.3,Rice,103553.0,Rice: 103553.0ha; Gram: 11242.8ha; Oilseeds total: 8587.9ha; Urad: 6266.5ha; Groundnut: 5757.5ha
Andhra Pradesh,Srikakulam,239342.5,Rice,106788.0,Rice: 106788.0ha; Cashewnut: 24728.8ha; Urad: 23085.1ha; Moong(Green Gram): 15918.0ha; Maize: 14973.9ha
