id,kvk_name,state,district,host_institution,latitude,longitude,phone,pincode
kvk_001,"Krishi Vigyan Kendra, Andaman and Nicobar Islands",Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,+91-054-56659,546542
kvk_002,"Krishi Vigyan Kendra, NICOBARS",Andaman and Nicobar Islands,NICOBARS,,,,+91-043-30904,430866
kvk_003,"Krishi Vigyan Kendra, NORTH AND MIDDLE ANDAMAN",Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,,,+91-023-42850,232719
kvk_004,"Krishi Vigyan Kendra, SOUTH ANDAMANS",Andaman and Nicobar Islands,SOUTH ANDAMANS,,,,+91-065-73473,653433
kvk_005,"Krishi Vigyan Kendra, ADILABAD",Andhra Pradesh,ADILABAD,,,,+91-040-39967,409808
kvk_006,"Krishi Vigyan Kendra, ANANTAPUR",Andhra Pradesh,ANANTAPUR,,,,+91-023-43159,233158
kvk_007,"Krishi Vigyan Kendra, CHITTOOR",Andhra Pradesh,CHITTOOR,,,,+91-014-15029,145020
kvk_008,"Krishi Vigyan Kendra, EAST GODAVARI",Andhra Pradesh,EAST GODAVARI,,,,+91-039-54414,394238
kvk_009,"Krishi Vigyan Kendra, GUNTUR",Andhra Pradesh,GUNTUR,,,,+91-073-70134,739963
kvk_010,"Krishi Vigyan Kendra, HYDERABAD",Andhra Pradesh,HYDERABAD,,,,+91-084-23765,843601
kvk_011,"Krishi Vigyan Kendra, KADAPA",Andhra Pradesh,KADAPA,,,,+91-067-96705,676665
kvk_012,"Krishi Vigyan Kendra, KARIMNAGAR",Andhra Pradesh,KARIMNAGAR,,,,+91-028-94116,284115
kvk_013,"Krishi Vigyan Kendra, KHAMMAM",Andhra Pradesh,KHAMMAM,,,,+91-033-88107,338010
kvk_014,"Krishi Vigyan Kendra, KRISHNA",Andhra Pradesh,KRISHNA,,,,+91-052-37096,527031
kvk_015,"Krishi Vigyan Kendra, KURNOOL",Andhra Pradesh,KURNOOL,,,,+91-038-45646,385496
kvk_016,"Krishi Vigyan Kendra, MAHBUBNAGAR",Andhra Pradesh,MAHBUBNAGAR,,,,+91-041-47718,417585
kvk_017,"Krishi Vigyan Kendra, MEDAK",Andhra Pradesh,MEDAK,,,,+91-027-22920,272745
kvk_018,"Krishi Vigyan Kendra, NALGONDA",Andhra Pradesh,NALGONDA,,,,+91-018-21023,180849
kvk_019,"Krishi Vigyan Kendra, NIZAMABAD",Andhra Pradesh,NIZAMABAD,,,,+91-062-76477,626446
kvk_020,"Krishi Vigyan Kendra, PRAKASAM",Andhra Pradesh,PRAKASAM,,,,+91-069-53797,693661
kvk_021,"Krishi Vigyan Kendra, RANGAREDDI",Andhra Pradesh,RANGAREDDI,,,,+91-022-32769,222638
kvk_022,"Krishi Vigyan Kendra, SPSR NELLORE",Andhra Pradesh,SPSR NELLORE,,,,+91-014-45840,145684
kvk_023,"Krishi Vigyan Kendra, SRIKAKULAM",Andhra Pradesh,SRIKAKULAM,,,,+91-044-79316,449183
kvk_024,"Krishi Vigyan Kendra, VISAKHAPATANAM",Andhra Pradesh,VISAKHAPATANAM,,,,+91-073-37988,737938
kvk_025,"Krishi Vigyan Kendra, VIZIANAGARAM",Andhra Pradesh,VIZIANAGARAM,,,,+91-082-62150,822004
kvk_026,"Krishi Vigyan Kendra, WARANGAL",Andhra Pradesh,WARANGAL,,,,+91-081-21133,811004
kvk_027,"Krishi Vigyan Kendra, WEST GODAVARI",Andhra Pradesh,WEST GODAVARI,,,,+91-065-73706,653640
kvk_028,"Krishi Vigyan Kendra, ANJAW",Arunachal Pradesh,ANJAW,,,,+91-022-30850,220745
kvk_029,"Krishi Vigyan Kendra, CHANGLANG",Arunachal Pradesh,CHANGLANG,,,,+91-019-32297,192175
kvk_030,"Krishi Vigyan Kendra, DIBANG VALLEY",Arunachal Pradesh,DIBANG VALLEY,,,,+91-016-64483,164353
kvk_031,"Krishi Vigyan Kendra, EAST KAMENG",Arunachal Pradesh,EAST KAMENG,,,,+91-084-54482,844353
kvk_032,"Krishi Vigyan Kendra, EAST SIANG",Arunachal Pradesh,EAST SIANG,,,,+91-067-31432,671296
kvk_033,"Krishi Vigyan Kendra, KAMLE",Arunachal Pradesh,KAMLE,,,,+91-023-10586,230550
kvk_034,"Krishi Vigyan Kendra, KRA DAADI",Arunachal Pradesh,KRA DAADI,,,,+91-088-65098,885012
kvk_035,"Krishi Vigyan Kendra, KURUNG KUMEY",Arunachal Pradesh,KURUNG KUMEY,,,,+91-033-85493,335474
kvk_036,"Krishi Vigyan Kendra, LEPARADA",Arunachal Pradesh,LEPARADA,,,,+91-033-20246,330183
kvk_037,"Krishi Vigyan Kendra, LOHIT",Arunachal Pradesh,LOHIT,,,,+91-067-39797,679635
kvk_038,"Krishi Vigyan Kendra, LONGDING",Arunachal Pradesh,LONGDING,,,,+91-063-54619,634475
kvk_039,"Krishi Vigyan Kendra, LOWER DIBANG VALLEY",Arunachal Pradesh,LOWER DIBANG VALLEY,,,,+91-016-69644,169592
kvk_040,"Krishi Vigyan Kendra, LOWER SIANG",Arunachal Pradesh,LOWER SIANG,,,,+91-060-29084,608914
