State,District,Soil_N_kgha,Soil_P_kgha,Soil_K_kgha,Soil_pH,Soil_Type,Organic_Carbon_Pct,Soil_Moisture_Pct
Andaman and Nicobar Islands,Andaman and Nicobar Islands,173,21,202,7.2,Alluvial Loam,0.53,35
Andaman and Nicobar Islands,NICOBARS,169,21,197,7.2,Alluvial Loam,0.52,32
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,191,23,223,7.2,Alluvial Loam,0.58,35
Andaman and Nicobar Islands,SOUTH ANDAMANS,182,22,212,7.0,Alluvial Loam,0.56,34
Andhra Pradesh,ADILABAD,175,23,211,7.0,Red Clay / Coastal Alluvium,0.53,37
Andhra Pradesh,ANANTAPUR,187,25,227,7.1,Red Clay / Coastal Alluvium,0.57,34
Andhra Pradesh,CHITTOOR,191,25,231,7.4,Red Clay / Coastal Alluvium,0.58,36
Andhra Pradesh,EAST GODAVARI,182,24,220,7.2,Red Clay / Coastal Alluvium,0.55,36
Andhra Pradesh,GUNTUR,187,25,227,7.2,Red Clay / Coastal Alluvium,0.57,34
Andhra Pradesh,HYDERABAD,191,25,231,7.1,Red Clay / Coastal Alluvium,0.58,36
Andhra Pradesh,KADAPA,186,24,224,7.2,Red Clay / Coastal Alluvium,0.56,35
Andhra Pradesh,KARIMNAGAR,182,24,220,7.0,Red Clay / Coastal Alluvium,0.55,36
Andhra Pradesh,KHAMMAM,177,23,213,7.4,Red Clay / Coastal Alluvium,0.53,34
Andhra Pradesh,KRISHNA,178,24,216,7.2,Red Clay / Coastal Alluvium,0.54,35
Andhra Pradesh,KURNOOL,171,23,207,7.0,Red Clay / Coastal Alluvium,0.52,36
Andhra Pradesh,MAHBUBNAGAR,180,24,218,7.0,Red Clay / Coastal Alluvium,0.54,36
Andhra Pradesh,MEDAK,191,25,231,7.0,Red Clay / Coastal Alluvium,0.58,36
Andhra Pradesh,NALGONDA,193,25,233,7.2,Red Clay / Coastal Alluvium,0.58,36
Andhra Pradesh,NIZAMABAD,186,24,224,7.4,Red Clay / Coastal Alluvium,0.56,37
Andhra Pradesh,PRAKASAM,171,23,207,7.1,Red Clay / Coastal Alluvium,0.52,35
Andhra Pradesh,RANGAREDDI,182,24,220,7.2,Red Clay / Coastal Alluvium,0.55,34
Andhra Pradesh,SPSR NELLORE,193,25,233,7.4,Red Clay / Coastal Alluvium,0.58,36
Andhra Pradesh,SRIKAKULAM,171,23,207,7.0,Red Clay / Coastal Alluvium,0.52,34
Andhra Pradesh,VISAKHAPATANAM,193,25,233,7.1,Red Clay / Coastal Alluvium,0.58,36
Andhra Pradesh,VIZIANAGARAM,184,24,222,7.1,Red Clay / Coastal Alluvium,0.56,34
Andhra Pradesh,WARANGAL,180,24,218,7.3,Red Clay / Coastal Alluvium,0.54,37
Andhra Pradesh,WEST GODAVARI,182,24,220,7.0,Red Clay / Coastal Alluvium,0.55,35
Arunachal Pradesh,ANJAW,189,23,220,7.0,Alluvial Loam,0.58,35
Arunachal Pradesh,CHANGLANG,173,21,202,7.4,Alluvial Loam,0.53,35
Arunachal Pradesh,DIBANG VALLEY,169,21,197,7.1,Alluvial Loam,0.52,34
Arunachal Pradesh,EAST KAMENG,185,23,216,7.0,Alluvial Loam,0.57,35
